City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,Ust-Kuyga,70.0167,135.6,0.21,99,100,4.36,RU,2021-04-23 20:44:03
248,Port Macquarie,-31.4333,152.9167,48.99,85,5,1.99,AU,2021-04-23 20:44:03
249,Mangochi,-14.4782,35.2645,67.48,77,12,5.84,MW,2021-04-23 20:44:03
250,Kununurra,-15.7667,128.7333,66.2,68,70,4.61,AU,2021-04-23 20:44:04
251,Torbay,47.6666,-52.7314,45.0,65,75,21.85,CA,2021-04-23 20:44:04
252,Grindavik,63.8424,-22.4338,46.4,87,90,19.57,IS,2021-04-23 20:44:05
253,Leningradskiy,69.3833,178.4167,28.04,85,100,1.3,RU,2021-04-23 20:44:05
254,Chokurdakh,70.6333,147.9167,-6.41,97,80,1.99,RU,2021-04-23 20:44:06
255,Bin Qirdan,33.1378,11.2197,62.26,79,11,11.16,TN,2021-04-23 20:44:06
256,Kjollefjord,70.9457,27.3465,30.2,69,20,4.61,NO,2021-04-23 20:44:06
257,Salinopolis,-0.6136,-47.3561,79.93,83,49,7.56,BR,2021-04-23 20:44:06
258,Mocuba,-16.8392,36.9856,66.45,97,0,2.28,MZ,2021-04-23 20:44:07
259,Albufeira,37.0882,-8.2503,64.4,94,20,10.36,PT,2021-04-23 20:39:24
260,Durango,24.8333,-104.8333,79.12,8,65,25.57,MX,2021-04-23 20:41:06
261,Kalmunai,7.4167,81.8167,80.06,80,3,1.68,LK,2021-04-23 20:44:08
262,Wasilla,61.5814,-149.4394,55.4,30,1,8.05,US,2021-04-23 20:44:09
263,Itupiranga,-5.1347,-49.3267,87.8,93,75,2.3,BR,2021-04-23 20:44:10
264,Bangkok,13.75,100.5167,84.0,89,20,4.61,TH,2021-04-23 20:39:31
265,Torbat-E Jam,35.244,60.6225,66.47,11,57,10.92,IR,2021-04-23 20:44:11
266,Bundaberg,-24.85,152.35,61.0,77,85,8.05,AU,2021-04-23 20:44:12
267,Ust-Koksa,50.2696,85.6108,22.62,91,100,2.55,RU,2021-04-23 20:44:12
268,Morehead,37.2711,-87.1764,60.8,44,90,11.5,US,2021-04-23 20:44:05
269,Half Moon Bay,37.4636,-122.4286,64.99,82,75,9.22,US,2021-04-23 20:44:13
270,Taber,49.8167,-112.1518,37.4,41,100,5.75,CA,2021-04-23 20:44:13
271,Verkhnyaya Inta,65.9811,60.3094,35.58,91,95,9.91,RU,2021-04-23 20:44:14
272,Handan,36.6006,114.4678,54.05,74,100,18.16,CN,2021-04-23 20:44:14
273,Kalispell,48.1958,-114.3129,41.0,56,90,3.44,US,2021-04-23 20:44:15
274,Riyadh,24.6877,46.7219,84.2,13,0,5.75,SA,2021-04-23 20:44:15
275,Hammerfest,70.6634,23.6821,32.0,69,75,10.36,NO,2021-04-23 20:44:15
276,Sorland,67.667,12.6934,33.8,75,40,13.8,NO,2021-04-23 20:44:17
277,Ahipara,-35.1667,173.1667,63.43,74,54,9.44,NZ,2021-04-23 20:44:17
278,Bom Jesus,-9.0744,-44.3586,80.96,63,47,2.39,BR,2021-04-23 20:44:18
